zip,county,population,median_age,median_household_income,median_gross_rent,median_home_value,occupied_units,renter_units,renter_share_pct,vacancy_rate_pct,rent_burdened_30plus_pct,severely_rent_burdened_50plus_pct,rent_to_income_pct,small_sample_flag
33503,Hillsborough,891.0,37.6,138553.0,,352900.0,184.0,0.0,0.0,0.0,,,,yes
33510,Hillsborough,30578.0,37.8,74245.0,1483.0,328200.0,11589.0,4328.0,37.3,4.3,59.5,28.7,24.0,no
33511,Hillsborough,62138.0,37.7,81301.0,1801.0,362700.0,23293.0,10284.0,44.2,6.6,59.2,31.4,26.6,no
33523,Pasco,19435.0,40.7,64826.0,1101.0,244400.0,6803.0,1570.0,23.1,15.0,30.1,15.5,20.4,no
33525,Pasco,21077.0,42.3,69068.0,1099.0,260200.0,8064.0,2099.0,26.0,11.1,51.3,19.0,19.1,no
33527,Hillsborough,17364.0,37.3,80464.0,968.0,387000.0,5445.0,1264.0,23.2,10.0,55.3,37.8,14.4,no
33534,Hillsborough,17740.0,34.4,80484.0,1452.0,314000.0,5728.0,1933.0,33.7,8.1,65.6,27.2,21.6,no
33540,Pasco,11390.0,53.4,56387.0,1107.0,142800.0,4822.0,548.0,11.4,20.3,66.1,46.3,23.6,no
33541,Pasco,24654.0,58.9,56579.0,1233.0,126000.0,10970.0,1538.0,14.0,25.4,54.7,30.2,26.2,no
33542,Pasco,23612.0,53.2,49316.0,1141.0,154000.0,10587.0,2908.0,27.5,22.1,50.1,29.6,27.8,no
33543,Pasco,40648.0,39.6,107349.0,2239.0,397400.0,14037.0,2077.0,14.8,7.7,49.9,20.8,25.0,no
33544,Pasco,29901.0,36.7,104573.0,1979.0,434900.0,9953.0,3274.0,32.9,7.1,51.9,12.4,22.7,no
33545,Pasco,30222.0,36.1,118889.0,2374.0,399400.0,9334.0,1615.0,17.3,9.4,45.1,18.5,24.0,no
33547,Hillsborough,31431.0,36.9,123258.0,2218.0,524300.0,9689.0,1789.0,18.5,5.1,47.8,25.3,21.6,no
33548,Hillsborough,8967.0,40.3,129857.0,1975.0,582200.0,2982.0,565.0,18.9,1.9,44.1,23.1,18.3,no
33549,Hillsborough,18178.0,44.7,89343.0,1661.0,385900.0,7166.0,1534.0,21.4,6.2,65.7,24.3,22.3,no
33556,Hillsborough,35755.0,40.1,149722.0,1841.0,625200.0,12236.0,1811.0,14.8,5.6,49.1,15.2,14.8,no
33558,Hillsborough,33165.0,40.4,116090.0,1672.0,520500.0,11901.0,3339.0,28.1,3.5,46.6,20.2,17.3,no
33559,Hillsborough,18831.0,32.0,80185.0,1561.0,377300.0,7110.0,2972.0,41.8,5.3,59.2,22.9,23.4,no
33563,Hillsborough,25896.0,37.9,60131.0,1351.0,226900.0,9617.0,3550.0,36.9,8.8,50.9,27.1,27.0,no
33565,Hillsborough,18108.0,44.2,73414.0,1454.0,273200.0,6274.0,574.0,9.1,11.9,65.4,29.9,23.8,no
33566,Hillsborough,24521.0,37.3,72393.0,1398.0,330900.0,8110.0,2238.0,27.6,3.3,52.0,17.9,23.2,no
33567,Hillsborough,12562.0,40.3,85643.0,1319.0,320700.0,3860.0,775.0,20.1,9.9,53.0,33.2,18.5,no
33569,Hillsborough,27867.0,40.9,105275.0,2273.0,372500.0,10092.0,1564.0,15.5,7.4,67.4,37.5,25.9,no
33570,Hillsborough,33319.0,37.5,72172.0,1253.0,300500.0,12322.0,2840.0,23.0,17.5,56.9,24.0,20.8,no
33572,Hillsborough,26495.0,44.3,122130.0,2251.0,472800.0,10120.0,1606.0,15.9,7.8,56.8,26.2,22.1,no
33573,Hillsborough,35362.0,64.1,72834.0,2230.0,309300.0,16422.0,2837.0,17.3,9.9,68.2,51.9,36.7,no
33574,Pasco,1822.0,19.9,,,,0.0,0.0,,,,,,yes
33576,Pasco,6273.0,61.8,76388.0,998.0,376400.0,2911.0,131.0,4.5,8.9,29.2,29.2,15.7,yes
33578,Hillsborough,60651.0,34.5,85921.0,1829.0,340900.0,23849.0,9867.0,41.4,8.7,59.9,32.1,25.5,no
33579,Hillsborough,49470.0,34.5,116134.0,2165.0,415500.0,15548.0,2560.0,16.5,4.0,37.0,10.9,22.4,no
33584,Hillsborough,28579.0,42.3,72267.0,1502.0,311300.0,10462.0,2581.0,24.7,5.9,55.5,15.8,24.9,no
33592,Hillsborough,12333.0,42.4,68802.0,1150.0,288600.0,4435.0,1648.0,37.2,11.5,51.3,21.1,20.1,no
33594,Hillsborough,37361.0,42.7,96628.0,1830.0,346900.0,13297.0,3029.0,22.8,5.4,57.5,19.5,22.7,no
33596,Hillsborough,27757.0,45.7,116465.0,2452.0,432300.0,10131.0,1658.0,16.4,2.9,53.1,28.1,25.3,no
33598,Hillsborough,32820.0,34.4,97520.0,1458.0,395500.0,9964.0,1274.0,12.8,3.1,41.6,12.7,17.9,no
33602,Hillsborough,21452.0,33.8,97320.0,2270.0,653100.0,11907.0,8684.0,72.9,8.5,46.5,23.4,28.0,no
33603,Hillsborough,19869.0,38.9,74081.0,1518.0,391000.0,8721.0,3638.0,41.7,9.0,52.0,23.0,24.6,no
33604,Hillsborough,40055.0,36.3,58766.0,1412.0,311900.0,15839.0,6969.0,44.0,9.0,64.4,38.9,28.8,no
33605,Hillsborough,16030.0,40.3,36975.0,1135.0,264400.0,7407.0,4429.0,59.8,17.2,66.8,35.9,36.8,no
33606,Hillsborough,24570.0,28.1,120729.0,2100.0,845600.0,9885.0,5546.0,56.1,13.3,48.1,20.2,20.9,no
33607,Hillsborough,25291.0,39.3,69694.0,1927.0,354400.0,12017.0,7574.0,63.0,11.2,55.5,27.1,33.2,no
33609,Hillsborough,18535.0,39.6,115844.0,1861.0,605600.0,8569.0,3022.0,35.3,9.1,49.3,22.7,19.3,no
33610,Hillsborough,46587.0,34.1,54209.0,1384.0,227400.0,16849.0,8163.0,48.4,7.9,61.0,31.8,30.6,no
33611,Hillsborough,36810.0,40.4,90910.0,1778.0,479800.0,18047.0,8350.0,46.3,6.7,53.1,21.7,23.5,no
33612,Hillsborough,49005.0,35.3,47199.0,1352.0,282000.0,19020.0,11944.0,62.8,11.5,67.6,39.1,34.4,no
33613,Hillsborough,37591.0,31.0,44032.0,1298.0,272700.0,16515.0,11239.0,68.1,10.2,72.0,41.5,35.4,no
33614,Hillsborough,47298.0,40.0,50232.0,1458.0,322700.0,18429.0,10468.0,56.8,8.5,63.9,33.7,34.8,no
33615,Hillsborough,47245.0,40.7,69274.0,1656.0,335900.0,18335.0,7787.0,42.5,8.8,52.1,25.6,28.7,no
33616,Hillsborough,15830.0,35.2,93210.0,2054.0,405500.0,6847.0,3558.0,52.0,7.8,50.5,21.2,26.4,no
33617,Hillsborough,47851.0,33.6,50948.0,1431.0,296900.0,20162.0,11454.0,56.8,8.1,66.3,29.6,33.7,no
33618,Hillsborough,27771.0,42.3,84788.0,1574.0,415800.0,11857.0,3553.0,30.0,4.8,54.6,31.6,22.3,no
33619,Hillsborough,41396.0,34.0,66134.0,1746.0,246400.0,15012.0,7386.0,49.2,6.5,54.9,28.4,31.7,no
33620,Hillsborough,7298.0,19.4,,,,34.0,34.0,100.0,0.0,100.0,100.0,,yes
33621,Hillsborough,2393.0,21.5,107188.0,2703.0,,497.0,497.0,100.0,12.0,53.6,21.0,30.3,no
33624,Hillsborough,41346.0,39.3,87760.0,1782.0,386100.0,15613.0,5166.0,33.1,2.2,63.1,35.9,24.4,no
33625,Hillsborough,29967.0,40.8,93133.0,1894.0,380800.0,11398.0,3800.0,33.3,4.6,56.8,29.6,24.4,no
33626,Hillsborough,30575.0,41.1,127118.0,2204.0,577100.0,12053.0,3872.0,32.1,3.7,45.2,28.8,20.8,no
33629,Hillsborough,27710.0,41.7,164355.0,1891.0,851400.0,10746.0,2136.0,19.9,5.2,42.6,16.5,13.8,no
33634,Hillsborough,21862.0,39.6,74291.0,1866.0,346400.0,7801.0,3117.0,40.0,5.7,67.5,36.0,30.1,no
33635,Hillsborough,19134.0,41.0,86894.0,1809.0,344900.0,7669.0,2769.0,36.1,6.5,44.6,18.0,25.0,no
33637,Hillsborough,17658.0,34.3,63323.0,1648.0,229200.0,7801.0,4455.0,57.1,5.7,49.8,31.9,31.2,no
33647,Hillsborough,74844.0,37.1,109285.0,1904.0,472500.0,27121.0,10411.0,38.4,4.1,56.5,26.1,20.9,no
33701,Pinellas,18823.0,46.1,73542.0,1711.0,637700.0,10549.0,6392.0,60.6,22.7,61.0,36.3,27.9,no
33702,Pinellas,31294.0,43.1,67463.0,1465.0,341700.0,14031.0,4553.0,32.4,12.9,56.9,23.8,26.1,no
33703,Pinellas,25264.0,44.4,95224.0,1833.0,441400.0,11174.0,2138.0,19.1,9.5,61.5,26.4,23.1,no
33704,Pinellas,16232.0,48.0,107889.0,1495.0,753600.0,7756.0,2636.0,34.0,12.6,54.7,24.7,16.6,no
33705,Pinellas,27939.0,43.3,73027.0,1526.0,365600.0,12288.0,5096.0,41.5,19.5,52.4,28.4,25.1,no
33706,Pinellas,15298.0,62.7,104359.0,1733.0,655800.0,8815.0,2247.0,25.5,38.9,51.7,26.0,19.9,no
33707,Pinellas,24324.0,60.5,69951.0,1605.0,378000.0,12806.0,3850.0,30.1,23.9,71.5,41.3,27.5,no
33708,Pinellas,15060.0,61.0,82500.0,1987.0,503300.0,7926.0,1917.0,24.2,40.4,58.7,40.9,28.9,no
33709,Pinellas,25050.0,52.7,53501.0,1479.0,200100.0,11027.0,2640.0,23.9,17.6,53.3,29.1,33.2,no
33710,Pinellas,33796.0,48.7,78611.0,1577.0,354900.0,14929.0,2702.0,18.1,10.7,57.5,22.4,24.1,no
33711,Pinellas,20013.0,39.0,66540.0,1897.0,283800.0,7222.0,2186.0,30.3,26.2,67.4,43.2,34.2,no
33712,Pinellas,27142.0,38.6,60450.0,1623.0,326000.0,10676.0,4611.0,43.2,18.0,73.6,43.5,32.2,no
33713,Pinellas,31729.0,42.1,74707.0,1497.0,323000.0,14781.0,4622.0,31.3,10.3,52.4,24.3,24.0,no
33714,Pinellas,19227.0,42.2,47487.0,1373.0,199700.0,8293.0,2971.0,35.8,15.6,54.9,31.6,34.7,no
33715,Pinellas,8032.0,62.9,102782.0,2680.0,622900.0,4126.0,381.0,9.2,41.6,70.8,29.5,31.3,no
33716,Pinellas,19328.0,33.4,75226.0,1809.0,209800.0,10314.0,8221.0,79.7,11.9,49.9,21.9,28.9,no
33755,Pinellas,27476.0,40.8,62886.0,1462.0,328700.0,10250.0,4636.0,45.2,13.9,62.1,36.6,27.9,no
33756,Pinellas,32201.0,44.9,61872.0,1557.0,362800.0,12960.0,5038.0,38.9,15.1,66.7,38.7,30.2,no
33759,Pinellas,17557.0,46.5,67492.0,1890.0,338900.0,7625.0,3742.0,49.1,12.7,59.9,34.5,33.6,no
33760,Pinellas,20501.0,37.7,69596.0,1631.0,265700.0,7703.0,3924.0,50.9,14.2,68.9,34.0,28.1,no
33761,Pinellas,18290.0,52.9,74728.0,1806.0,289700.0,8457.0,1707.0,20.2,12.6,53.7,21.5,29.0,no
33762,Pinellas,5063.0,50.9,87461.0,1792.0,344700.0,2589.0,651.0,25.1,14.1,45.2,17.1,24.6,no
33763,Pinellas,21146.0,56.1,54794.0,1497.0,234500.0,10121.0,2796.0,27.6,12.4,56.7,28.4,32.8,no
33764,Pinellas,27311.0,50.8,67256.0,1797.0,329900.0,12395.0,4218.0,34.0,17.6,64.5,28.6,32.1,no
33765,Pinellas,13808.0,46.5,69199.0,1641.0,333300.0,6006.0,2651.0,44.1,12.0,56.6,23.3,28.5,no
33767,Pinellas,8081.0,64.5,117425.0,2539.0,757800.0,4433.0,675.0,15.2,49.9,68.0,46.5,25.9,no
33770,Pinellas,25368.0,49.4,59815.0,1604.0,302600.0,11563.0,4423.0,38.3,17.1,67.0,33.1,32.2,no
33771,Pinellas,27596.0,53.4,59993.0,1436.0,171100.0,13190.0,4688.0,35.5,22.5,54.5,27.2,28.7,no
33772,Pinellas,23733.0,50.8,73586.0,1608.0,366900.0,10582.0,2872.0,27.1,14.8,58.1,27.5,26.2,no
33773,Pinellas,16741.0,47.1,76867.0,1679.0,319400.0,7100.0,1842.0,25.9,15.0,51.3,18.9,26.2,no
33774,Pinellas,19799.0,49.6,79139.0,1545.0,334400.0,8420.0,1911.0,22.7,18.5,58.2,29.9,23.4,no
33776,Pinellas,12556.0,50.5,105337.0,2544.0,466600.0,4947.0,452.0,9.1,8.1,60.0,34.4,29.0,no
33777,Pinellas,18582.0,46.1,86375.0,1729.0,353100.0,7416.0,1085.0,14.6,11.0,68.8,28.8,24.0,no
33778,Pinellas,16807.0,51.2,65355.0,1811.0,291600.0,6836.0,1168.0,17.1,16.7,55.2,24.0,33.3,no
33781,Pinellas,28072.0,43.0,57785.0,1343.0,265700.0,10859.0,3866.0,35.6,12.6,56.2,30.2,27.9,no
33782,Pinellas,22461.0,46.6,66461.0,1879.0,300500.0,9557.0,2449.0,25.6,11.9,64.6,21.5,33.9,no
33785,Pinellas,4907.0,58.5,101356.0,1948.0,729200.0,2555.0,543.0,21.3,57.3,50.4,24.8,23.1,no
33786,Pinellas,1582.0,59.1,163125.0,3501.0,1053000.0,698.0,35.0,5.0,41.2,22.9,11.4,25.8,yes
34601,Hernando,24115.0,50.1,60440.0,1153.0,188400.0,10217.0,2825.0,27.6,15.8,53.5,26.4,22.9,no
34602,Hernando,11088.0,44.4,77215.0,1322.0,276400.0,3935.0,506.0,12.9,11.6,52.6,17.5,20.5,no
34604,Hernando,13642.0,45.0,84833.0,1365.0,305500.0,4600.0,389.0,8.5,7.8,50.3,43.6,19.3,no
34606,Hernando,28668.0,49.8,57337.0,1250.0,250900.0,12741.0,2956.0,23.2,9.8,59.2,27.0,26.2,no
34607,Hernando,9496.0,55.2,66422.0,1373.0,398900.0,4081.0,652.0,16.0,19.9,58.1,28.0,24.8,no
34608,Hernando,36658.0,43.9,64345.0,1286.0,276800.0,14202.0,2790.0,19.6,6.6,64.3,24.0,24.0,no
34609,Hernando,47257.0,44.9,79442.0,1791.0,317200.0,17593.0,2865.0,16.3,6.7,48.6,25.2,27.1,no
34610,Pasco,16995.0,41.8,77396.0,1558.0,267500.0,5780.0,604.0,10.4,10.2,40.3,18.4,24.2,no
34613,Hernando,19337.0,58.4,58596.0,1141.0,209500.0,8909.0,817.0,9.2,17.1,60.8,39.2,23.4,no
34614,Hernando,10935.0,41.4,83800.0,978.0,321600.0,3712.0,175.0,4.7,3.3,44.0,44.0,14.0,yes
34637,Pasco,13049.0,38.7,115214.0,1857.0,434400.0,3981.0,348.0,8.7,3.7,33.1,28.2,19.3,no
34638,Pasco,37644.0,38.4,123899.0,2275.0,433600.0,12048.0,1970.0,16.4,5.2,45.4,18.8,22.0,no
34639,Pasco,30831.0,40.7,101486.0,2040.0,383500.0,10612.0,2111.0,19.9,3.9,52.2,18.7,24.1,no
34652,Pasco,27444.0,49.5,56931.0,1296.0,222600.0,12092.0,4397.0,36.4,18.9,57.0,28.4,27.3,no
34653,Pasco,35945.0,50.6,49563.0,1248.0,203200.0,15777.0,5458.0,34.6,9.6,57.1,27.0,30.2,no
34654,Pasco,24355.0,43.7,73947.0,1682.0,307200.0,9177.0,1831.0,20.0,9.4,38.1,12.1,27.3,no
34655,Pasco,49964.0,45.4,85470.0,1793.0,380200.0,19632.0,4617.0,23.5,6.1,60.7,31.5,25.2,no
34667,Pasco,30689.0,60.3,51280.0,1194.0,234300.0,14691.0,3374.0,23.0,23.9,58.6,30.9,27.9,no
34668,Pasco,49442.0,40.9,47401.0,1391.0,191600.0,20730.0,7706.0,37.2,13.5,64.9,37.4,35.2,no
34669,Pasco,14618.0,48.2,58638.0,1330.0,247100.0,6021.0,719.0,11.9,13.9,63.4,29.0,27.2,no
34677,Pinellas,22762.0,47.5,93474.0,1485.0,387300.0,9148.0,1783.0,19.5,10.5,63.8,31.4,19.1,no
34681,Pinellas,1284.0,49.5,,,729000.0,509.0,49.0,9.6,16.3,100.0,0.0,,yes
34683,Pinellas,33911.0,47.7,92885.0,1748.0,452100.0,13998.0,2597.0,18.6,10.5,68.2,36.8,22.6,no
34684,Pinellas,27029.0,55.3,72145.0,1854.0,342400.0,12874.0,3493.0,27.1,10.7,75.7,45.9,30.8,no
34685,Pinellas,18132.0,48.4,94688.0,1990.0,518000.0,7405.0,1714.0,23.1,7.8,66.9,28.6,25.2,no
34688,Pinellas,8522.0,49.6,112091.0,1429.0,510100.0,3295.0,220.0,6.7,6.8,41.8,29.4,15.3,yes
34689,Pinellas,27324.0,55.7,74854.0,1289.0,337000.0,12755.0,2366.0,18.5,11.4,55.1,32.5,20.7,no
34690,Pasco,12498.0,45.5,49401.0,1285.0,177200.0,5274.0,1789.0,33.9,25.8,61.5,36.4,31.2,no
34691,Pasco,21232.0,46.0,50288.0,1224.0,202700.0,9716.0,3133.0,32.2,20.1,61.8,35.4,29.2,no
34695,Pinellas,18098.0,51.5,95238.0,1707.0,439300.0,7494.0,1009.0,13.5,8.2,34.6,11.8,21.5,no
34698,Pinellas,38171.0,57.8,74078.0,1691.0,392300.0,18020.0,4795.0,26.6,18.2,66.1,31.2,27.4,no
